Date,S&P500,KOSPI200
2008-01-02,1447.16,235.3
2008-01-03,1447.16,234.67
2008-01-04,1411.63,235.77
2008-01-07,1416.18,231
2008-01-08,1390.19,230.34
2008-01-09,1409.13,232.53
2008-01-10,1420.33,229.47
2008-01-11,1401.02,224.41
2008-01-14,1416.25,222.81
2008-01-15,1380.95,220.91
2008-01-16,1373.2,215.87
2008-01-17,1333.25,218.83
2008-01-18,1325.19,219.87
2008-01-21,1325.19,213.6
2008-01-22,1310.5,204.55
2008-01-23,1338.6,207.23
2008-01-24,1352.07,211.2
2008-01-25,1330.61,215.06
2008-01-28,1353.96,206.52
2008-01-29,1362.3,208.8
2008-01-30,1355.81,203.5
2008-01-31,1378.55,207.77
2008-02-01,1395.42,209.08
2008-02-04,1380.82,216.23
2008-02-05,1336.64,216.91
2008-02-06,1326.45,216.91
2008-02-07,1336.91,216.91
2008-02-08,1331.29,216.91
2008-02-11,1339.13,208.92
2008-02-12,1348.86,209.01
2008-02-13,1367.21,207.56
2008-02-14,1348.86,216.2
2008-02-15,1349.99,215.38
2008-02-18,1349.99,215.46
2008-02-19,1348.78,218.37
2008-02-20,1360.03,213.84
2008-02-21,1342.53,216.38
2008-02-22,1353.11,213.73
2008-02-25,1371.8,217.07
2008-02-26,1381.29,217.22
2008-02-27,1380.02,218.87
2008-02-28,1367.68,220.59
2008-02-29,1330.63,216.85
2008-03-03,1331.34,211.73
2008-03-04,1326.75,212.14
2008-03-05,1333.7,212.14
2008-03-06,1304.34,214.92
2008-03-07,1293.37,210.57
2008-03-10,1273.37,206.29
2008-03-11,1320.65,208.06
2008-03-12,1308.77,210.49
2008-03-13,1315.48,204.42
2008-03-14,1288.14,202.63
2008-03-17,1276.6,199.68
2008-03-18,1330.74,201.79
2008-03-19,1298.42,206.48
2008-03-20,1329.51,206.62
2008-03-21,1329.51,209.69
2008-03-24,1349.88,211
2008-03-25,1352.99,213.73
2008-03-26,1341.13,214.41
2008-03-27,1325.76,213.85
2008-03-28,1315.22,217.22
2008-03-31,1322.7,217.65
2008-04-01,1370.18,217.81
2008-04-02,1367.53,223.76
2008-04-03,1369.31,226.99
2008-04-04,1370.4,226.95
2008-04-07,1372.54,227.79
2008-04-08,1365.54,225.1
2008-04-09,1354.49,225.1
2008-04-10,1360.55,226.44
2008-04-11,1332.83,228.8
2008-04-14,1328.32,224.54
2008-04-15,1334.43,223.51
2008-04-16,1364.71,225.36
2008-04-17,1365.56,226.98
2008-04-18,1390.33,227.25
2008-04-21,1388.17,231.11
2008-04-22,1375.94,229.22
2008-04-23,1379.93,230.56
2008-04-24,1388.82,230.77
2008-04-25,1397.84,234.56
2008-04-28,1396.37,234.97
2008-04-29,1390.94,233.24
2008-04-30,1385.59,235
2008-05-01,1409.34,235
2008-05-02,1413.9,238.18
2008-05-05,1407.49,238.18
2008-05-06,1418.26,239.53
2008-05-07,1392.57,238.66
2008-05-08,1397.68,237.37
2008-05-09,1388.28,233.98
2008-05-12,1403.58,233.98
2008-05-13,1403.04,237.02
2008-05-14,1408.66,237.04
2008-05-15,1423.57,243.11
2008-05-16,1425.35,243.54
2008-05-19,1426.63,242.67
2008-05-20,1413.4,240.62
2008-05-21,1390.71,237.15
2008-05-22,1394.35,235.31
2008-05-23,1375.93,234.14
2008-05-26,1375.93,230.43
2008-05-27,1385.35,233.97
2008-05-28,1390.84,231.17
2008-05-29,1398.26,236.39
2008-05-30,1400.38,237.46
2008-06-02,1385.67,236.78
2008-06-03,1377.65,233.14
2008-06-04,1377.2,235.09
2008-06-05,1404.05,234.76
2008-06-06,1360.68,234.76
2008-06-09,1361.76,231.35
2008-06-10,1358.44,226.56
2008-06-11,1335.49,227.42
2008-06-12,1339.87,221.17
2008-06-13,1357.5,222.79
2008-06-16,1360.14,224.91
2008-06-17,1350.93,223.66
2008-06-18,1337.81,226.6
2008-06-19,1342.83,222.03
2008-06-20,1317.93,220.57
2008-06-23,1318,218.51
2008-06-24,1314.29,217.97
2008-06-25,1321.97,218.95
2008-06-26,1283.15,219.12
2008-06-27,1278.38,214.59
2008-06-30,1280,213.52
2008-07-01,1284.91,213.02
2008-07-02,1261.52,207.96
2008-07-03,1262.9,205.71
2008-07-04,1262.9,201.74
2008-07-07,1252.31,202.34
2008-07-08,1273.69,196.52
2008-07-09,1244.68,194.61
2008-07-10,1253.39,196.34
2008-07-11,1239.49,200.12
2008-07-14,1228.3,199.12
2008-07-15,1214.91,193.01
2008-07-16,1245.36,192.48
2008-07-17,1260.31,194.89
2008-07-18,1260.68,192.86
2008-07-21,1260,200
2008-07-22,1277,199.77
2008-07-23,1282.18,203.64
2008-07-24,1252.54,208.34
2008-07-25,1257.76,204.27
2008-07-28,1234.37,203.97
2008-07-29,1263.19,199.9
2008-07-30,1284.26,201.82
2008-07-31,1267.38,204.12
2008-08-01,1260.31,201.43
2008-08-04,1249.01,197.56
2008-08-05,1284.88,196.44
2008-08-06,1289.18,202.28
2008-08-07,1266.06,200.31
2008-08-08,1296.31,200.76
2008-08-11,1305.31,203.2
2008-08-12,1289.59,202.12
2008-08-13,1285.82,200.26
2008-08-14,1292.93,201.5
2008-08-15,1298.19,201.5
2008-08-18,1278.6,200.97
2008-08-19,1266.68,197.56
2008-08-20,1274.54,197.35
2008-08-21,1277.72,193.85
2008-08-22,1292.19,192.04
2008-08-25,1266.84,192.99
2008-08-26,1271.51,191.36
2008-08-27,1281.66,191.6
2008-08-28,1300.68,188.75
2008-08-29,1282.82,188.96
2008-09-01,1282.82,182.13
2008-09-02,1277.57,182.41
2008-09-03,1274.98,184.36
2008-09-04,1236.82,183.57
2008-09-05,1242.31,180.49
2008-09-08,1267.79,189.97
2008-09-09,1224.51,186.99
2008-09-10,1232.04,188.5
2008-09-11,1249.05,185.27
2008-09-12,1251.69,189.9
2008-09-15,1192.69,189.9
