Date,CSI 300,KOSPI 200,Kospi 200,Nikkei 225,S&P 500
2017-01-02,,260.36,260.36,,
2017-01-03,3342.23,262.97,262.97,,2257.83
2017-01-04,3368.31,263.12,263.12,19594.16,2270.75
2017-01-05,3367.79,261.98,261.98,19520.69,2269.0
2017-01-06,3347.67,263.2,263.2,19454.33,2276.98
2017-01-09,3363.9,263.74,263.74,19454.33,2268.9
2017-01-10,3358.27,263.73,263.73,19301.44,2268.9
2017-01-11,3334.5,268.15,268.15,19364.67,2275.32
2017-01-12,3317.62,269.95,269.95,19134.7,2270.44
2017-01-13,3319.91,267.91,267.91,19287.28,2274.64
2017-01-16,3319.45,266.15,266.15,19095.24,2274.64
2017-01-17,3326.36,267.37,267.37,18813.53,2267.89
2017-01-18,3339.37,267.08,267.08,18894.37,2271.89
2017-01-19,3329.29,267.7,267.7,19072.25,2263.69
2017-01-20,3354.89,266.52,266.52,19137.91,2271.31
2017-01-23,3364.08,267.12,267.12,18891.03,2265.2
2017-01-24,3364.45,267.3,267.3,18787.99,2280.07
2017-01-25,3375.9,268.15,268.15,19057.5,2298.37
2017-01-26,3387.96,270.48,270.48,19402.39,2296.68
2017-01-27,3387.96,270.48,270.48,19467.4,2294.69
2017-01-30,3387.96,270.48,270.48,19368.85,2280.9
2017-01-31,3387.96,268.09,268.09,19041.34,2278.87
2017-02-01,3387.96,269.56,269.56,19148.08,2279.55
2017-02-02,3387.96,268.49,268.49,18914.58,2280.85
2017-02-03,3364.49,268.85,268.85,18918.2,2297.42
2017-02-06,3373.21,269.49,269.49,18976.71,2292.56
2017-02-07,3365.68,268.97,268.97,18910.78,2293.08
2017-02-08,3383.29,267.72,267.72,19007.6,2294.67
2017-02-09,3396.29,267.69,267.69,18907.67,2307.87
2017-02-10,3413.49,268.66,268.66,19378.93,2316.1
2017-02-13,3436.28,268.81,268.81,19459.15,2328.25
2017-02-14,3435.8,267.9,267.9,19238.98,2337.58
2017-02-15,3421.71,268.81,268.81,19437.98,2349.25
2017-02-16,3440.93,268.93,268.93,19347.53,2347.22
2017-02-17,3421.44,268.84,268.84,19234.62,2351.16
2017-02-20,3471.39,269.73,269.73,19251.08,2351.16
2017-02-21,3482.82,272.11,272.11,19381.44,2365.38
2017-02-22,3489.76,272.85,272.85,19379.87,2362.82
2017-02-23,3473.32,272.89,272.89,19371.46,2363.81
2017-02-24,3473.85,270.38,270.38,19283.54,2367.34
2017-02-27,3446.22,268.97,268.97,19107.47,2369.75
2017-02-28,3452.81,270.06,270.06,19118.99,2363.64
